序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
00647,="10:04:37.699",0x77124,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00648,="10:04:37.699",0x77188,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00649,="10:04:37.699",0x771EC,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00650,="10:04:37.729",0x77250,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00651,="10:04:37.729",0x772B4,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00652,="10:04:37.729",0x77317,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00653,="10:04:37.758",0x7737B,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00654,="10:04:37.758",0x773DF,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00655,="10:04:37.758",0x77443,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00656,="10:04:37.788",0x774A7,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00657,="10:04:37.788",0x7750B,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00658,="10:04:37.788",0x7756F,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00659,="10:04:37.819",0x775D3,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00660,="10:04:37.819",0x77636,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00661,="10:04:37.819",0x7769A,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00662,="10:04:37.850",0x776FE,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00663,="10:04:37.850",0x77762,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00664,="10:04:37.850",0x777C6,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00665,="10:04:37.879",0x7782A,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00666,="10:04:37.879",0x7788E,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00667,="10:04:37.879",0x778F2,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00668,="10:04:37.909",0x77955,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00669,="10:04:37.909",0x779B9,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00670,="10:04:37.909",0x77A1D,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00671,="10:04:37.939",0x77A81,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00672,="10:04:37.939",0x77AE5,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00673,="10:04:37.939",0x77B49,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00674,="10:04:37.969",0x77BAD,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00675,="10:04:37.969",0x77C11,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00676,="10:04:37.969",0x77C74,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00677,="10:04:37.999",0x77CD8,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00678,="10:04:37.999",0x77D3C,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00679,="10:04:37.999",0x77DAF,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00680,="10:04:38.030",0x77E0E,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00681,="10:04:38.030",0x77E72,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00682,="10:04:38.030",0x77ED6,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00683,="10:04:38.059",0x77F3A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00684,="10:04:38.059",0x77F9D,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00685,="10:04:38.059",0x78001,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00686,="10:04:38.090",0x78065,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00687,="10:04:38.090",0x780C9,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00688,="10:04:38.090",0x7812D,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00689,="10:04:38.119",0x78191,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00690,="10:04:38.119",0x781F5,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00691,="10:04:38.119",0x78259,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00692,="10:04:38.150",0x782BC,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00693,="10:04:38.150",0x78320,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00694,="10:04:38.150",0x78384,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00695,="10:04:38.179",0x783E8,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00696,="10:04:38.179",0x7844C,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00697,="10:04:38.179",0x784B0,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00698,="10:04:38.209",0x78514,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00699,="10:04:38.209",0x78578,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00700,="10:04:38.209",0x785DB,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00701,="10:04:38.239",0x7863F,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00702,="10:04:38.239",0x786A3,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00703,="10:04:38.239",0x78707,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00704,="10:04:38.269",0x7876B,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00705,="10:04:38.269",0x787CF,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00706,="10:04:38.269",0x78833,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00707,="10:04:38.299",0x78896,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00708,="10:04:38.299",0x788FA,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00709,="10:04:38.299",0x7895E,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00710,="10:04:38.329",0x789C2,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00711,="10:04:38.329",0x78A26,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00712,="10:04:38.329",0x78A8A,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00713,="10:04:38.359",0x78AEE,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00714,="10:04:38.359",0x78B52,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00715,="10:04:38.359",0x78BB5,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00716,="10:04:38.389",0x78C19,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00717,="10:04:38.389",0x78C7D,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00718,="10:04:38.389",0x78CE1,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00719,="10:04:38.419",0x78D45,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00720,="10:04:38.419",0x78DA9,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00721,="10:04:38.419",0x78E0D,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00722,="10:04:38.450",0x78E71,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00723,="10:04:38.450",0x78ED4,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00724,="10:04:38.450",0x78F38,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00725,="10:04:38.480",0x78F9C,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00726,="10:04:38.480",0x79000,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00727,="10:04:38.480",0x79064,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00728,="10:04:38.509",0x790C8,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00729,="10:04:38.509",0x7913A,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00730,="10:04:38.509",0x7919A,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00731,="10:04:38.539",0x791FD,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00732,="10:04:38.539",0x79261,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00733,="10:04:38.539",0x792C5,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00734,="10:04:38.568",0x79329,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00735,="10:04:38.568",0x7938D,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00736,="10:04:38.568",0x793F1,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00737,="10:04:38.598",0x79455,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00738,="10:04:38.598",0x794B9,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00739,="10:04:38.598",0x7951C,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00740,="10:04:38.628",0x79580,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00741,="10:04:38.628",0x795E4,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00742,="10:04:38.628",0x79648,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00743,="10:04:38.658",0x796AC,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00744,="10:04:38.658",0x79710,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00745,="10:04:38.658",0x79774,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00746,="10:04:38.689",0x797D8,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00747,="10:04:38.689",0x7983B,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00748,="10:04:38.689",0x7989F,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00749,="10:04:38.719",0x79903,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00750,="10:04:38.719",0x79967,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00751,="10:04:38.719",0x799CB,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00752,="10:04:38.748",0x79A2F,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00753,="10:04:38.748",0x79A93,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00754,="10:04:38.748",0x79AF7,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00755,="10:04:38.778",0x79B5A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00756,="10:04:38.778",0x79BBE,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00757,="10:04:38.778",0x79C22,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00758,="10:04:38.808",0x79C86,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00759,="10:04:38.808",0x79CEA,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00760,="10:04:38.808",0x79D4E,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00761,="10:04:38.838",0x79DB2,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00762,="10:04:38.838",0x79E16,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00763,="10:04:38.838",0x79E79,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00764,="10:04:38.869",0x79EDD,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00765,="10:04:38.869",0x79F41,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00766,="10:04:38.869",0x79FA5,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00767,="10:04:38.899",0x7A009,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00768,="10:04:38.899",0x7A06D,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00769,="10:04:38.899",0x7A0D1,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00770,="10:04:38.928",0x7A135,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00771,="10:04:38.928",0x7A198,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00772,="10:04:38.928",0x7A1FC,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00773,="10:04:38.958",0x7A260,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00774,="10:04:38.958",0x7A2C4,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00775,="10:04:38.958",0x7A328,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00776,="10:04:38.988",0x7A38C,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00777,="10:04:38.988",0x7A3F0,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00778,="10:04:38.988",0x7A454,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00779,="10:04:39.018",0x7A4B8,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00780,="10:04:39.018",0x7A51B,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00781,="10:04:39.018",0x7A57F,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00782,="10:04:39.048",0x7A5E3,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00783,="10:04:39.048",0x7A647,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00784,="10:04:39.048",0x7A6AB,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00785,="10:04:39.079",0x7A70F,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00786,="10:04:39.079",0x7A773,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00787,="10:04:39.079",0x7A7D6,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00788,="10:04:39.108",0x7A83A,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00789,="10:04:39.108",0x7A89E,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00790,="10:04:39.108",0x7A902,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00791,="10:04:39.138",0x7A966,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00792,="10:04:39.138",0x7A9CA,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00793,="10:04:39.138",0x7AA2E,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00794,="10:04:39.168",0x7AA91,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00795,="10:04:39.168",0x7AAF5,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00796,="10:04:39.168",0x7AB59,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00797,="10:04:39.199",0x7ABBD,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00798,="10:04:39.199",0x7AC21,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00799,="10:04:39.199",0x7AC85,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00800,="10:04:39.228",0x7ACE9,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00801,="10:04:39.228",0x7AD4D,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00802,="10:04:39.228",0x7ADB0,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00803,="10:04:39.258",0x7AE14,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00804,="10:04:39.258",0x7AE78,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00805,="10:04:39.258",0x7AEDC,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00806,="10:04:39.289",0x7AF40,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00807,="10:04:39.289",0x7AFA4,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00808,="10:04:39.289",0x7B008,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00809,="10:04:39.318",0x7B06C,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00810,="10:04:39.318",0x7B0CF,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00811,="10:04:39.318",0x7B133,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00812,="10:04:39.348",0x7B197,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00813,="10:04:39.348",0x7B1FB,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00814,="10:04:39.348",0x7B25F,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00815,="10:04:39.378",0x7B2C3,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00816,="10:04:39.378",0x7B327,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00817,="10:04:39.378",0x7B38B,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00818,="10:04:39.408",0x7B3EF,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00819,="10:04:39.408",0x7B452,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00820,="10:04:39.408",0x7B4B6,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00821,="10:04:39.438",0x7B51A,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00822,="10:04:39.438",0x7B57E,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00823,="10:04:39.438",0x7B5E2,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00824,="10:04:39.468",0x7B646,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00825,="10:04:39.468",0x7B6AA,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00826,="10:04:39.468",0x7B70E,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00827,="10:04:39.498",0x7B771,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00828,="10:04:39.498",0x7B7D5,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00829,="10:04:39.528",0x7B848,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00830,="10:04:39.528",0x7B8A7,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00831,="10:04:39.528",0x7B90B,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00832,="10:04:39.528",0x7B96F,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00833,="10:04:39.558",0x7B9D3,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00834,="10:04:39.558",0x7BA36,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00835,="10:04:39.558",0x7BA9A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
00836,="10:04:39.589",0x7BAFE,ch1,接收,0x19C2D2D7,数据帧,扩展帧,0x08,x| E8 0B E8 0B FF FF FF FF 
00837,="10:04:39.589",0x7BB62,ch1,接收,0x19C3D2D7,数据帧,扩展帧,0x08,x| F2 FF F1 FF 58 02 90 01 
00838,="10:04:39.589",0x7BBC6,ch1,接收,0x19C1D2D9,数据帧,扩展帧,0x08,x| FF FF FF FF FF FF FF FF 
00839,="10:04:39.619",0x7BC2A,ch1,接收,0x19C1D2D7,数据帧,扩展帧,0x08,x| 64 00 32 00 0A 00 FF FF 
